path,size_bytes,last_commit_date,ref_count,ref_locations,reason_guess
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pandas/_libs/groupby.cpython-313-x86_64-linux-gnu.so,2707408,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pandas/_libs/groupby.cpython-313-x86_64-linux-gnu.so,2707408,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pyarrow/libarrow_python.so,2705264,never,0,,legacy_dir
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pandas/_libs/groupby.cpython-312-x86_64-linux-gnu.so,2703280,never,0,,legacy_dir
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/numpy.libs/libgfortran-040039e1.so.5.0.0,2686065,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/next-server/app-page-experimental.runtime.prod.js.map,2614313,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/next-server/app-page-turbo-experimental.runtime.prod.js.map,2613842,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/webpack/bundle5.js,2582639,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/.next/cache/webpack/client-production/index.pack,2579902,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/.next/cache/webpack/client-production/index.pack.old,2579432,never,0,,cache
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/regex/_regex.cpython-312-x86_64-linux-gnu.so,2576520,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js.map,2528192,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/next-server/app-page-turbo.runtime.prod.js.map,2527716,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/.next/cache/webpack/client-production/5.pack,2507389,never,0,,cache
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/yaml/_yaml.cpython-312-x86_64-linux-gnu.so,2481784,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/yaml/_yaml.cpython-313-x86_64-linux-gnu.so,2448472,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/yaml/_yaml.cpython-313-x86_64-linux-gnu.so,2448472,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/cli/venv/lib/python3.13/site-packages/yaml/_yaml.cpython-313-x86_64-linux-gnu.so,2448472,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/library/venv/lib/python3.13/site-packages/yaml/_yaml.cpython-313-x86_64-linux-gnu.so,2448472,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/nextjs-app/node_modules/@unrs/resolver-binding-linux-x64-gnu/resolver.linux-x64-gnu.node,2272024,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/next-devtools/index.js.map,2205319,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pandas/_libs/hashtable.cpython-313-x86_64-linux-gnu.so,2202880,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pandas/_libs/hashtable.cpython-313-x86_64-linux-gnu.so,2202880,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pandas/_libs/hashtable.cpython-312-x86_64-linux-gnu.so,2145504,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pyarrow/libarrow_acero.so.2100,2112288,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pyarrow/libarrow_acero.so.2100,2112288,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pyarrow/libarrow_acero.so.1500,2064824,never,0,,legacy_dir
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/sqlalchemy/cyextension/collections.cpython-313-x86_64-linux-gnu.so,2015968,never,0,,unknown_orphan
platform/venv_test/lib/python3.13/site-packages/sqlalchemy/cyextension/collections.cpython-313-x86_64-linux-gnu.so,2015968,never,0,,test_artifact
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/sqlalchemy/cyextension/collections.cpython-312-x86_64-linux-gnu.so,2011024,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pandas/_libs/algos.cpython-313-x86_64-linux-gnu.so,1999680,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pandas/_libs/algos.cpython-313-x86_64-linux-gnu.so,1999680,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/.mypy_cache/3.12/builtins.data.json,1996839,never,0,,legacy_sample
attic/TO_REMOVE_20250808/.mypy_cache/3.11/builtins.data.json,1992878,never,0,,legacy_sample
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pandas/_libs/algos.cpython-312-x86_64-linux-gnu.so,1987360,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/node_modules/@napi-rs/wasm-runtime/dist/runtime.js,1977112,never,0,,cache
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/tensorboard/plugins/projector/tf_projector_plugin/projector_binary.js,1964091,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/nextjs-app/node_modules/jiti/dist/babel.cjs,1897468,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/typescript/lib/lib.dom.d.ts,1874901,never,0,,cache
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/virtualenv/seed/wheels/embed/pip-25.0.1-py3-none-any.whl,1841526,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/virtualenv/seed/wheels/embed/pip-25.1.1-py3-none-any.whl,1825227,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/fontTools/misc/bezierTools.c,1820774,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/aiohttp/_websocket/reader_c.cpython-312-x86_64-linux-gnu.so,1818512,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/aiohttp/_websocket/reader_c.cpython-313-x86_64-linux-gnu.so,1815912,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/.git/objects/pack/pack-23e116dc225eb699f8f0231d57b50f0330c4eafb.pack,1765457,never,0,,legacy_dir
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/llama_index/core/_static/tiktoken_cache/9b5ad71b2ce5302211f9c61530b329a4922fc6a4,1681126,never,0,,legacy_dir
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/fontTools/varLib/iup.cpython-313-x86_64-linux-gnu.so,1643856,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/mkdocs_material-9.6.16.dist-info/RECORD,1595141,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/babel-packages/packages-bundle.js,1538674,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pyarrow/_compute.cpython-313-x86_64-linux-gnu.so,1461176,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pyarrow/_compute.cpython-313-x86_64-linux-gnu.so,1461176,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/greenlet/_greenlet.cpython-313-x86_64-linux-gnu.so,1447768,never,0,,unknown_orphan
platform/venv_test/lib/python3.13/site-packages/greenlet/_greenlet.cpython-313-x86_64-linux-gnu.so,1447768,never,0,,test_artifact
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/greenlet/_greenlet.cpython-312-x86_64-linux-gnu.so,1446128,never,0,,legacy_dir
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/matplotlib/ft2font.cpython-313-x86_64-linux-gnu.so,1439320,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pillow.libs/libfreetype-083ff72c.so.6.20.2,1430825,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pillow.libs/libfreetype-083ff72c.so.6.20.2,1430825,never,0,,legacy_dir
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pyarrow/_compute.cpython-312-x86_64-linux-gnu.so,1420960,never,0,,legacy_dir
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/fontTools/feaLib/lexer.cpython-313-x86_64-linux-gnu.so,1410768,never,0,,unknown_orphan
.claude/context_vectors.json,1405530,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/@vercel/og/resvg.wasm,1378357,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/babel/bundle.js,1359839,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pandas/_libs/interval.cpython-313-x86_64-linux-gnu.so,1347648,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pandas/_libs/interval.cpython-313-x86_64-linux-gnu.so,1347648,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pandas/_libs/interval.cpython-312-x86_64-linux-gnu.so,1335328,never,0,,legacy_dir
